model,fnat,lrmsd,irmsd,dockQ
complex.1213_1_corrected_H_0001_T41,0.053,20.544,12.913,0.071
complex.12209_1_corrected_H_0001_T41,0.018,23.226,10.563,0.052
complex.12254_5_corrected_H_0001_T41,0.105,16.602,9.442,0.113
complex.12256_8_corrected_H_0001_T41,0.0,48.743,12.121,0.015
complex.1227_9_corrected_H_0001_T41,0.053,20.462,12.979,0.071
complex.12297_4_corrected_H_0001_T41,0.0,24.824,9.484,0.043
complex.12364_6_corrected_H_0001_T41,0.018,31.817,8.833,0.037
complex.12403_0_corrected_H_0001_T41,0.0,17.139,7.3,0.079
complex.12447_4_corrected_H_0001_T41,0.035,34.626,12.737,0.035
complex.12464_9_corrected_H_0001_T41,0.0,29.193,13.79,0.03
complex.12554_8_corrected_H_0001_T41,0.018,29.753,7.73,0.043
complex.12582_0_corrected_H_0001_T41,0.0,27.551,8.063,0.04
complex.12668_8_corrected_H_0001_T41,0.0,24.232,8.251,0.047
complex.12689_7_corrected_H_0001_T41,0.053,21.524,13.651,0.066
complex.12760_4_corrected_H_0001_T41,0.053,16.827,6.344,0.103
complex.12788_5_corrected_H_0001_T41,0.088,18.405,8.997,0.097
complex.12832_8_corrected_H_0001_T41,0.018,37.861,9.516,0.03
complex.12843_1_corrected_H_0001_T41,0.0,15.284,5.977,0.098
complex.12851_8_corrected_H_0001_T41,0.035,22.142,9.626,0.062
complex.12999_1_corrected_H_0001_T41,0.123,8.836,4.92,0.229
complex.13049_5_corrected_H_0001_T41,0.035,24.51,8.118,0.058
complex.13130_7_corrected_H_0001_T41,0.193,10.754,5.07,0.219
complex.1316_6_corrected_H_0001_T41,0.053,23.979,13.269,0.059
complex.13189_5_corrected_H_0001_T41,0.0,19.107,11.406,0.061
complex.13236_0_corrected_H_0001_T41,0.018,18.938,11.736,0.067
complex.13255_9_corrected_H_0001_T41,0.0,55.961,15.248,0.011
complex.13262_3_corrected_H_0001_T41,0.088,16.476,9.5,0.107
complex.13294_1_corrected_H_0001_T41,0.018,35.537,11.811,0.029
complex.13378_6_corrected_H_0001_T41,0.0,53.035,14.914,0.012
complex.13451_7_corrected_H_0001_T41,0.018,29.358,8.185,0.042
complex.13464_6_corrected_H_0001_T41,0.053,35.605,10.97,0.042
complex.13532_9_corrected_H_0001_T41,0.053,18.017,9.394,0.087
complex.13537_6_corrected_H_0001_T41,0.035,32.067,11.358,0.039
complex.13567_3_corrected_H_0001_T41,0.0,24.624,12.742,0.04
complex.13638_1_corrected_H_0001_T41,0.0,57.555,15.051,0.01
complex.13757_4_corrected_H_0001_T41,0.0,39.588,10.289,0.022
complex.13764_9_corrected_H_0001_T41,0.053,34.627,9.658,0.044
complex.13791_8_corrected_H_0001_T41,0.158,17.272,4.973,0.145
complex.14010_7_corrected_H_0001_T41,0.0,26.232,11.873,0.037
complex.14105_3_corrected_H_0001_T41,0.07,27.38,8.855,0.062
complex.14118_3_corrected_H_0001_T41,0.0,48.358,13.525,0.014
complex.14123_0_corrected_H_0001_T41,0.0,24.057,12.745,0.042
complex.14133_5_corrected_H_0001_T41,0.035,24.015,12.816,0.053
complex.14169_5_corrected_H_0001_T41,0.018,34.044,9.35,0.034
complex.14214_0_corrected_H_0001_T41,0.0,12.768,5.516,0.125
complex.14275_5_corrected_H_0001_T41,0.123,30.2,12.926,0.07
complex.14337_1_corrected_H_0001_T41,0.0,43.516,13.002,0.017
complex.14350_5_corrected_H_0001_T41,0.018,28.907,8.685,0.042
complex.14524_8_corrected_H_0001_T41,0.105,13.643,5.285,0.153
complex.14529_1_corrected_H_0001_T41,0.018,31.513,10.22,0.035
complex.14533_2_corrected_H_0001_T41,0.053,29.69,7.464,0.056
complex.14545_7_corrected_H_0001_T41,0.018,30.788,11.9,0.035
complex.14552_1_corrected_H_0001_T41,0.298,12.643,5.122,0.23
complex.14555_8_corrected_H_0001_T41,0.0,29.94,9.715,0.033
complex.14597_6_corrected_H_0001_T41,0.018,24.096,13.271,0.047
complex.14651_5_corrected_H_0001_T41,0.035,32.345,9.801,0.041
complex.14675_9_corrected_H_0001_T41,0.035,21.71,13.598,0.06
complex.14906_7_corrected_H_0001_T41,0.018,26.514,7.604,0.049
complex.14941_7_corrected_H_0001_T41,0.018,31.77,8.817,0.037
complex.14988_9_corrected_H_0001_T41,0.053,28.964,7.245,0.058
complex.150_9_corrected_H_0001_T41,0.035,28.742,8.892,0.048
complex.15283_5_corrected_H_0001_T41,0.0,29.113,13.055,0.031
complex.15348_6_corrected_H_0001_T41,0.0,51.336,14.542,0.012
complex.15367_2_corrected_H_0001_T41,0.0,43.526,11.768,0.018
complex.1536_5_corrected_H_0001_T41,0.07,25.269,12.917,0.062
complex.15376_2_corrected_H_0001_T41,0.0,28.199,10.599,0.034
complex.15383_6_corrected_H_0001_T41,0.0,27.722,12.075,0.034
complex.15392_2_corrected_H_0001_T41,0.0,29.73,13.991,0.029
complex.15413_5_corrected_H_0001_T41,0.0,27.607,12.791,0.033
complex.15417_3_corrected_H_0001_T41,0.0,33.791,9.024,0.029
complex.15421_8_corrected_H_0001_T41,0.0,20.883,11.129,0.053
complex.15424_6_corrected_H_0001_T41,0.0,27.791,11.25,0.034
complex.15457_2_corrected_H_0001_T41,0.035,10.694,5.473,0.164
complex.15513_0_corrected_H_0001_T41,0.0,43.397,12.823,0.017
complex.1555_7_corrected_H_0001_T41,0.053,18.589,6.287,0.093
complex.15586_9_corrected_H_0001_T41,0.018,30.242,9.167,0.039
complex.15610_6_corrected_H_0001_T41,0.07,25.671,7.494,0.069
complex.15631_0_corrected_H_0001_T41,0.0,28.593,13.183,0.031
complex.15744_4_corrected_H_0001_T41,0.018,31.893,11.273,0.034
complex.15753_0_corrected_H_0001_T41,0.175,23.175,7.236,0.112
complex.15776_3_corrected_H_0001_T41,0.018,35.402,13.004,0.028
complex.15842_9_corrected_H_0001_T41,0.035,32.606,8.667,0.043
complex.15986_1_corrected_H_0001_T41,0.053,36.524,10.469,0.041
complex.16002_0_corrected_H_0001_T41,0.053,22.66,6.748,0.074
complex.16096_5_corrected_H_0001_T41,0.0,22.848,6.699,0.056
complex.16118_0_corrected_H_0001_T41,0.053,21.136,13.729,0.068
complex.16160_6_corrected_H_0001_T41,0.0,42.711,12.214,0.018
complex.16213_1_corrected_H_0001_T41,0.07,20.955,9.752,0.078
complex.16240_9_corrected_H_0001_T41,0.14,9.604,5.63,0.215
complex.16270_7_corrected_H_0001_T41,0.0,23.761,12.134,0.043
complex.16276_1_corrected_H_0001_T41,0.0,54.055,14.892,0.011
complex.16356_4_corrected_H_0001_T41,0.0,32.697,13.475,0.025
complex.16369_5_corrected_H_0001_T41,0.0,22.568,8.823,0.051
complex.16492_9_corrected_H_0001_T41,0.053,18.789,12.97,0.079
complex.16534_7_corrected_H_0001_T41,0.0,22.79,11.685,0.046
complex.1653_5_corrected_H_0001_T41,0.053,28.041,13.488,0.05
complex.16622_4_corrected_H_0001_T41,0.193,13.46,5.486,0.183
complex.16647_4_corrected_H_0001_T41,0.018,15.21,5.643,0.107
complex.16655_8_corrected_H_0001_T41,0.053,25.45,6.81,0.066
complex.16662_1_corrected_H_0001_T41,0.018,33.258,13.402,0.03
complex.1673_6_corrected_H_0001_T41,0.018,25.85,13.447,0.042
complex.16752_8_corrected_H_0001_T41,0.053,9.937,5.623,0.181
complex.16770_1_corrected_H_0001_T41,0.0,25.468,11.818,0.039
complex.16798_1_corrected_H_0001_T41,0.0,36.918,11.895,0.022
complex.1679_2_corrected_H_0001_T41,0.035,27.838,12.9,0.045
complex.16818_2_corrected_H_0001_T41,0.053,32.145,10.671,0.046
complex.16914_7_corrected_H_0001_T41,0.053,18.254,11.439,0.083
complex.16932_8_corrected_H_0001_T41,0.018,23.05,12.589,0.05
complex.16991_1_corrected_H_0001_T41,0.053,22.254,13.006,0.064
complex.17020_9_corrected_H_0001_T41,0.035,9.26,5.23,0.189
complex.17172_4_corrected_H_0001_T41,0.0,52.825,14.168,0.012
complex.1718_2_corrected_H_0001_T41,0.105,17.764,10.833,0.103
complex.17227_6_corrected_H_0001_T41,0.0,43.942,11.864,0.017
complex.17325_9_corrected_H_0001_T41,0.0,55.294,13.937,0.012
complex.17354_7_corrected_H_0001_T41,0.105,10.381,5.879,0.189
complex.17357_8_corrected_H_0001_T41,0.0,23.372,6.878,0.054
complex.17380_9_corrected_H_0001_T41,0.018,38.409,9.629,0.029
complex.17437_1_corrected_H_0001_T41,0.105,23.268,8.956,0.083
complex.17441_0_corrected_H_0001_T41,0.0,38.719,10.149,0.022
complex.17450_4_corrected_H_0001_T41,0.035,26.07,12.9,0.048
complex.17523_1_corrected_H_0001_T41,0.0,48.297,12.487,0.015
complex.17588_6_corrected_H_0001_T41,0.0,51.222,15.195,0.012
complex.17741_3_corrected_H_0001_T41,0.07,13.189,5.761,0.142
complex.17744_4_corrected_H_0001_T41,0.0,41.151,12.049,0.019
complex.17800_4_corrected_H_0001_T41,0.0,16.123,7.183,0.086
complex.17842_3_corrected_H_0001_T41,0.0,47.749,15.288,0.013
complex.17869_7_corrected_H_0001_T41,0.0,39.404,9.669,0.023
complex.17968_7_corrected_H_0001_T41,0.035,32.415,10.708,0.04
complex.17974_2_corrected_H_0001_T41,0.0,32.716,10.698,0.028
complex.17976_1_corrected_H_0001_T41,0.0,47.03,12.392,0.015
complex.18001_0_corrected_H_0001_T41,0.0,27.448,8.326,0.04
complex.18012_5_corrected_H_0001_T41,0.0,42.271,12.039,0.018
complex.18113_2_corrected_H_0001_T41,0.07,22.884,9.049,0.073
complex.18161_4_corrected_H_0001_T41,0.0,49.746,13.53,0.014
complex.18222_5_corrected_H_0001_T41,0.018,41.658,13.232,0.023
complex.18296_5_corrected_H_0001_T41,0.035,10.636,5.679,0.163
complex.18340_5_corrected_H_0001_T41,0.158,21.55,8.165,0.108
complex.1837_5_corrected_H_0001_T41,0.14,22.455,6.528,0.105
complex.18486_4_corrected_H_0001_T41,0.088,19.823,10.963,0.087
complex.18499_7_corrected_H_0001_T41,0.0,24.743,7.806,0.047
complex.18509_2_corrected_H_0001_T41,0.0,46.63,12.613,0.015
complex.18536_6_corrected_H_0001_T41,0.0,47.11,11.892,0.016
complex.18545_8_corrected_H_0001_T41,0.158,14.55,5.436,0.161
complex.18594_5_corrected_H_0001_T41,0.018,44.99,12.043,0.022
complex.18613_0_corrected_H_0001_T41,0.018,25.148,7.016,0.055
complex.1866_3_corrected_H_0001_T41,0.333,12.477,2.955,0.285
complex.18671_8_corrected_H_0001_T41,0.018,30.743,8.497,0.04
complex.18749_2_corrected_H_0001_T41,0.07,19.557,11.666,0.082
complex.18772_9_corrected_H_0001_T41,0.0,26.566,8.98,0.04
complex.18773_3_corrected_H_0001_T41,0.018,27.962,12.947,0.038
complex.18929_6_corrected_H_0001_T41,0.0,28.208,10.379,0.035
complex.18944_1_corrected_H_0001_T41,0.0,25.324,7.332,0.047
complex.18967_1_corrected_H_0001_T41,0.035,28.553,12.551,0.044
complex.19284_3_corrected_H_0001_T41,0.14,20.391,7.958,0.108
complex.19295_7_corrected_H_0001_T41,0.0,23.354,12.947,0.043
complex.19331_3_corrected_H_0001_T41,0.0,43.024,11.624,0.018
complex.19350_1_corrected_H_0001_T41,0.018,31.151,9.381,0.037
complex.1941_5_corrected_H_0001_T41,0.035,29.193,9.903,0.045
complex.19437_1_corrected_H_0001_T41,0.0,21.856,10.614,0.05
complex.19532_8_corrected_H_0001_T41,0.0,57.857,15.585,0.01
complex.19581_7_corrected_H_0001_T41,0.053,18.433,5.954,0.096
complex.19642_6_corrected_H_0001_T41,0.0,20.028,11.717,0.056
complex.19685_1_corrected_H_0001_T41,0.0,49.39,12.546,0.014
complex.19709_6_corrected_H_0001_T41,0.0,16.345,7.214,0.085
complex.19713_5_corrected_H_0001_T41,0.018,36.541,9.3,0.031
complex.19798_7_corrected_H_0001_T41,0.0,34.741,10.851,0.025
complex.19846_4_corrected_H_0001_T41,0.018,23.984,10.268,0.05
complex.19850_4_corrected_H_0001_T41,0.0,27.81,13.715,0.032
complex.19870_0_corrected_H_0001_T41,0.0,49.975,13.92,0.013
complex.19881_1_corrected_H_0001_T41,0.0,53.706,13.125,0.012
complex.1991_6_corrected_H_0001_T41,0.105,16.578,9.695,0.112
complex.19996_9_corrected_H_0001_T41,0.0,26.256,13.134,0.036
complex.20003_8_corrected_H_0001_T41,0.105,22.611,9.017,0.085
complex.20124_4_corrected_H_0001_T41,0.0,24.858,8.675,0.045
complex.20141_0_corrected_H_0001_T41,0.0,50.552,13.566,0.013
complex.20150_8_corrected_H_0001_T41,0.053,30.471,10.826,0.048
complex.20310_8_corrected_H_0001_T41,0.0,23.466,7.146,0.053
complex.20375_4_corrected_H_0001_T41,0.088,29.257,12.824,0.06
complex.20534_0_corrected_H_0001_T41,0.105,31.789,9.151,0.066
complex.20543_9_corrected_H_0001_T41,0.088,28.597,11.612,0.062
complex.20596_0_corrected_H_0001_T41,0.0,41.415,12.506,0.018
complex.20701_8_corrected_H_0001_T41,0.018,30.04,8.071,0.042
complex.20706_0_corrected_H_0001_T41,0.105,25.407,11.575,0.074
complex.20713_1_corrected_H_0001_T41,0.0,36.205,11.115,0.023
complex.20715_4_corrected_H_0001_T41,0.0,45.84,12.559,0.016
complex.20724_5_corrected_H_0001_T41,0.018,36.779,9.249,0.031
complex.20791_4_corrected_H_0001_T41,0.211,21.667,7.868,0.126
complex.21030_1_corrected_H_0001_T41,0.053,21.685,6.115,0.081
complex.21041_6_corrected_H_0001_T41,0.0,55.124,13.99,0.012
complex.21049_1_corrected_H_0001_T41,0.0,27.262,13.285,0.034
complex.21055_5_corrected_H_0001_T41,0.105,26.357,12.09,0.072
complex.21110_9_corrected_H_0001_T41,0.053,22.151,6.725,0.076
complex.21154_2_corrected_H_0001_T41,0.0,17.929,8.547,0.071
complex.21176_4_corrected_H_0001_T41,0.0,31.568,14.871,0.026
complex.21201_4_corrected_H_0001_T41,0.0,39.609,12.059,0.02
complex.21235_2_corrected_H_0001_T41,0.14,18.934,8.288,0.113
complex.21282_7_corrected_H_0001_T41,0.123,22.87,7.169,0.095
complex.21319_5_corrected_H_0001_T41,0.088,30.398,8.003,0.065
complex.21325_1_corrected_H_0001_T41,0.018,32.039,10.58,0.034
complex.2134_5_corrected_H_0001_T41,0.07,16.724,6.7,0.108
complex.21379_3_corrected_H_0001_T41,0.0,27.324,12.015,0.035
complex.21444_4_corrected_H_0001_T41,0.0,58.061,13.989,0.011
complex.21457_6_corrected_H_0001_T41,0.0,53.502,13.141,0.012
complex.21535_7_corrected_H_0001_T41,0.123,11.442,6.336,0.177
complex.21544_8_corrected_H_0001_T41,0.0,49.763,12.796,0.014
complex.21565_0_corrected_H_0001_T41,0.0,26.695,8.914,0.04
complex.21592_5_corrected_H_0001_T41,0.0,30.142,13.985,0.028
complex.21727_1_corrected_H_0001_T41,0.0,23.478,11.412,0.044
complex.2174_2_corrected_H_0001_T41,0.035,27.871,13.391,0.044
complex.21894_8_corrected_H_0001_T41,0.0,27.492,10.964,0.035
complex.2192_5_corrected_H_0001_T41,0.035,23.681,8.161,0.061
complex.21934_0_corrected_H_0001_T41,0.0,40.187,13.507,0.018
complex.21969_6_corrected_H_0001_T41,0.0,27.074,12.61,0.035
complex.22081_4_corrected_H_0001_T41,0.018,17.397,10.923,0.076
complex.22095_1_corrected_H_0001_T41,0.0,37.475,12.539,0.021
complex.2217_5_corrected_H_0001_T41,0.053,16.111,5.855,0.111
complex.22204_1_corrected_H_0001_T41,0.053,25.677,6.278,0.068
complex.22231_2_corrected_H_0001_T41,0.158,17.575,4.579,0.148
complex.22252_2_corrected_H_0001_T41,0.0,47.299,11.634,0.016
complex.22279_3_corrected_H_0001_T41,0.14,12.815,6.68,0.165
complex.2235_2_corrected_H_0001_T41,0.053,25.599,7.897,0.062
complex.22386_9_corrected_H_0001_T41,0.018,40.263,11.395,0.026
complex.22513_4_corrected_H_0001_T41,0.0,36.963,10.224,0.024
complex.22662_7_corrected_H_0001_T41,0.0,31.132,8.741,0.033
complex.22744_4_corrected_H_0001_T41,0.018,30.665,12.347,0.034
complex.22801_0_corrected_H_0001_T41,0.0,48.848,13.666,0.014
complex.22856_8_corrected_H_0001_T41,0.088,24.818,9.548,0.072
complex.22975_2_corrected_H_0001_T41,0.0,43.086,13.197,0.017
complex.23152_7_corrected_H_0001_T41,0.0,27.519,9.949,0.036
complex.23329_0_corrected_H_0001_T41,0.0,18.446,6.303,0.076
complex.23370_1_corrected_H_0001_T41,0.0,57.89,15.147,0.01
complex.23429_1_corrected_H_0001_T41,0.0,32.588,8.972,0.03
complex.2343_9_corrected_H_0001_T41,0.035,15.759,6.029,0.106
complex.23679_4_corrected_H_0001_T41,0.0,49.553,12.864,0.014
complex.2368_4_corrected_H_0001_T41,0.0,21.845,6.712,0.06
complex.23784_8_corrected_H_0001_T41,0.0,18.869,11.572,0.062
complex.23907_8_corrected_H_0001_T41,0.0,32.579,11.59,0.027
complex.2395_4_corrected_H_0001_T41,0.018,31.018,12.08,0.034
complex.23969_0_corrected_H_0001_T41,0.0,48.838,11.897,0.015
complex.24037_8_corrected_H_0001_T41,0.018,27.745,9.443,0.043
complex.24086_0_corrected_H_0001_T41,0.0,41.137,9.829,0.021
complex.24089_7_corrected_H_0001_T41,0.0,23.814,12.233,0.043
complex.24097_2_corrected_H_0001_T41,0.053,17.749,9.338,0.088
complex.24120_8_corrected_H_0001_T41,0.0,47.368,12.754,0.015
complex.24242_4_corrected_H_0001_T41,0.0,29.115,13.145,0.03
complex.24292_8_corrected_H_0001_T41,0.018,19.164,10.409,0.067
complex.24332_6_corrected_H_0001_T41,0.0,58.422,16.002,0.01
complex.24533_6_corrected_H_0001_T41,0.0,30.215,11.62,0.03
complex.24565_5_corrected_H_0001_T41,0.0,43.396,12.327,0.017
complex.24590_8_corrected_H_0001_T41,0.0,44.941,10.761,0.018
complex.24603_2_corrected_H_0001_T41,0.053,18.021,6.423,0.095
complex.24623_1_corrected_H_0001_T41,0.035,28.616,8.217,0.049
complex.24624_7_corrected_H_0001_T41,0.0,45.608,12.316,0.016
complex.24682_6_corrected_H_0001_T41,0.018,35.187,9.878,0.032
complex.24695_3_corrected_H_0001_T41,0.0,29.945,10.103,0.032
complex.2469_1_corrected_H_0001_T41,0.175,12.352,5.763,0.187
complex.24870_5_corrected_H_0001_T41,0.0,24.349,12.553,0.041
complex.24902_8_corrected_H_0001_T41,0.035,26.115,9.933,0.051
complex.24961_8_corrected_H_0001_T41,0.053,35.205,13.35,0.04
complex.25000_2_corrected_H_0001_T41,0.0,48.615,13.754,0.014
complex.25035_6_corrected_H_0001_T41,0.105,27.523,10.484,0.071
complex.25045_7_corrected_H_0001_T41,0.0,51.109,14.851,0.012
complex.25087_7_corrected_H_0001_T41,0.0,37.654,9.852,0.024
complex.25261_1_corrected_H_0001_T41,0.018,37.248,10.6,0.029
complex.25362_3_corrected_H_0001_T41,0.0,25.751,9.997,0.04
complex.2545_2_corrected_H_0001_T41,0.105,19.096,10.859,0.096
complex.25470_5_corrected_H_0001_T41,0.053,33.06,8.259,0.049
complex.2547_0_corrected_H_0001_T41,0.0,50.964,14.586,0.013
complex.25494_4_corrected_H_0001_T41,0.0,27.812,10.902,0.035
complex.25529_0_corrected_H_0001_T41,0.018,15.423,7.169,0.097
complex.25553_0_corrected_H_0001_T41,0.0,25.678,13.612,0.037
complex.25582_9_corrected_H_0001_T41,0.0,25.8,12.767,0.037
complex.25613_2_corrected_H_0001_T41,0.07,24.481,8.672,0.069
complex.25829_5_corrected_H_0001_T41,0.0,26.333,13.279,0.036
complex.25833_3_corrected_H_0001_T41,0.0,27.568,11.056,0.035
complex.25838_4_corrected_H_0001_T41,0.0,57.966,15.373,0.01
complex.26016_2_corrected_H_0001_T41,0.0,41.634,15.799,0.016
complex.26128_4_corrected_H_0001_T41,0.035,31.173,8.288,0.045
complex.26158_3_corrected_H_0001_T41,0.0,42.751,12.117,0.018
complex.26258_8_corrected_H_0001_T41,0.035,21.304,10.829,0.064
complex.26336_2_corrected_H_0001_T41,0.018,26.864,14.747,0.04
complex.26343_6_corrected_H_0001_T41,0.0,30.922,9.212,0.032
complex.26466_2_corrected_H_0001_T41,0.0,22.842,11.766,0.046
complex.2647_7_corrected_H_0001_T41,0.018,19.622,8.58,0.068
complex.26504_9_corrected_H_0001_T41,0.07,19.733,12.501,0.08
complex.26612_8_corrected_H_0001_T41,0.07,32.029,10.629,0.052
complex.26663_9_corrected_H_0001_T41,0.0,41.47,12.407,0.018
complex.26677_9_corrected_H_0001_T41,0.14,17.611,6.351,0.127
complex.26757_8_corrected_H_0001_T41,0.0,29.676,7.489,0.038
complex.26765_7_corrected_H_0001_T41,0.0,54.847,14.172,0.012
complex.26782_7_corrected_H_0001_T41,0.0,56.576,15.452,0.01
complex.26807_4_corrected_H_0001_T41,0.0,26.261,11.119,0.038
complex.26828_1_corrected_H_0001_T41,0.0,26.173,12.468,0.037
complex.26845_6_corrected_H_0001_T41,0.0,36.123,12.923,0.022
complex.26864_7_corrected_H_0001_T41,0.0,54.001,14.105,0.012
complex.26892_2_corrected_H_0001_T41,0.035,32.66,10.608,0.039
complex.26971_0_corrected_H_0001_T41,0.0,56.461,14.913,0.011
complex.27042_8_corrected_H_0001_T41,0.0,57.76,16.392,0.01
complex.27063_9_corrected_H_0001_T41,0.035,21.431,13.062,0.061
complex.27110_8_corrected_H_0001_T41,0.0,44.534,13.8,0.016
complex.27119_6_corrected_H_0001_T41,0.0,54.769,14.349,0.011
complex.27131_9_corrected_H_0001_T41,0.0,37.93,12.398,0.021
complex.27161_1_corrected_H_0001_T41,0.053,28.478,9.721,0.053
complex.27173_8_corrected_H_0001_T41,0.018,33.667,8.434,0.036
complex.27204_9_corrected_H_0001_T41,0.0,52.378,14.223,0.012
complex.27212_5_corrected_H_0001_T41,0.0,21.878,7.105,0.058
complex.27222_9_corrected_H_0001_T41,0.018,19.769,11.989,0.063
complex.27241_9_corrected_H_0001_T41,0.018,35.658,11.8,0.029
complex.27320_9_corrected_H_0001_T41,0.018,33.043,8.24,0.037
complex.27330_2_corrected_H_0001_T41,0.0,47.991,14.023,0.014
complex.2742_9_corrected_H_0001_T41,0.175,11.633,5.033,0.202
complex.27522_8_corrected_H_0001_T41,0.0,34.565,12.657,0.024
complex.27554_4_corrected_H_0001_T41,0.0,42.832,11.867,0.018
complex.27571_4_corrected_H_0001_T41,0.0,26.898,10.916,0.036
complex.2762_9_corrected_H_0001_T41,0.035,26.507,13.074,0.047
complex.27670_3_corrected_H_0001_T41,0.0,50.786,13.457,0.013
complex.27685_7_corrected_H_0001_T41,0.018,36.914,11.253,0.028
complex.2769_6_corrected_H_0001_T41,0.246,24.126,7.028,0.133
complex.27714_5_corrected_H_0001_T41,0.0,32.722,8.825,0.03
complex.27780_9_corrected_H_0001_T41,0.0,47.456,13.883,0.014
complex.27834_7_corrected_H_0001_T41,0.0,49.954,13.51,0.013
complex.27858_5_corrected_H_0001_T41,0.018,34.468,13.664,0.029
complex.27859_5_corrected_H_0001_T41,0.035,29.061,10.386,0.045
complex.27889_2_corrected_H_0001_T41,0.0,50.842,14.324,0.013
complex.27964_4_corrected_H_0001_T41,0.0,25.687,9.62,0.041
complex.27977_0_corrected_H_0001_T41,0.0,58.737,14.689,0.01
complex.28011_3_corrected_H_0001_T41,0.0,49.744,15.03,0.013
complex.28115_0_corrected_H_0001_T41,0.14,26.565,8.174,0.089
complex.28151_0_corrected_H_0001_T41,0.0,18.694,11.579,0.063
complex.28180_1_corrected_H_0001_T41,0.0,48.944,14.883,0.013
complex.28260_3_corrected_H_0001_T41,0.0,49.105,12.134,0.015
complex.28267_7_corrected_H_0001_T41,0.0,47.953,12.922,0.015
complex.28360_3_corrected_H_0001_T41,0.0,20.672,6.511,0.065
complex.28457_9_corrected_H_0001_T41,0.0,47.589,14.606,0.014
complex.28517_9_corrected_H_0001_T41,0.0,49.4,12.021,0.015
complex.28522_0_corrected_H_0001_T41,0.0,23.017,12.139,0.045
complex.28586_0_corrected_H_0001_T41,0.0,47.991,11.645,0.016
complex.28587_9_corrected_H_0001_T41,0.018,34.272,11.021,0.031
complex.28594_4_corrected_H_0001_T41,0.0,58.728,14.723,0.01
complex.2863_9_corrected_H_0001_T41,0.14,17.583,7.589,0.122
complex.28696_0_corrected_H_0001_T41,0.0,24.681,7.255,0.049
complex.28697_5_corrected_H_0001_T41,0.053,25.76,10.497,0.057
complex.28701_5_corrected_H_0001_T41,0.0,17.403,11.006,0.07
complex.2873_6_corrected_H_0001_T41,0.018,29.975,9.439,0.039
